epoch,train_loss,val_loss,train_f1,val_f1
1,0.1409104562339681,0.16996178662369638,0.9519248500363384,0.9388376544283974
2,0.12401574699340931,0.17256165691050096,0.9607901117747945,0.9383098712815877
3,0.11202043553287906,0.1773853749367354,0.9653373735187489,0.9373781148429036
4,0.09856424538839363,0.18498706549840332,0.9716358376198933,0.9373325265796525
5,0.08203231061842663,0.1973454651935349,0.9778712617641507,0.9368180445939535
