model,accuracy,precision,recall,f1
voting_classifier,0.9412702516373664,0.944295010845987,0.9378662530162013,0.9410696528168101
calibrated_svm,0.9404946570148225,0.9480234902270137,0.932092381937263,0.9399904401859819
linear_svm,0.9397621509824199,0.9474745703262013,0.9311444329541537,0.9392385257301809
logistic_regression,0.9381678731471906,0.9467533608645989,0.9285591175456739,0.9375679791168153
naive_bayes,0.9120130989314029,0.879263842614628,0.9551878662530162,0.9156546881453944
